,Gene,Gene_name,Ensembl_ID,Shift_to_goal_end,Goal_end_vs_random_pval,Goal_end_FDR,N_Detections,Sig
0,6,DPM1,ENSG00000000419,0.0,1.0,1.0,4,0
1,8,FIRRM,ENSG00000000460,0.0,1.0,1.0,1,0
2,9,FGR,ENSG00000000938,0.0,1.0,1.0,56,0
3,11,FUCA2,ENSG00000001036,0.0,1.0,1.0,14,0
4,12,GCLC,ENSG00000001084,0.0,1.0,1.0,5,0
5,13,NFYA,ENSG00000001167,0.0,1.0,1.0,2,0
6,14,STPG1,ENSG00000001460,0.0,1.0,1.0,1,0
7,15,NIPAL3,ENSG00000001461,0.0,1.0,1.0,5,0
8,16,LAS1L,ENSG00000001497,0.0,1.0,1.0,4,0
9,17,ENPP4,ENSG00000001561,0.0,1.0,1.0,1,0
10,20,ANKIB1,ENSG00000001629,0.0,1.0,1.0,10,0
11,22,KRIT1,ENSG00000001631,0.0,1.0,1.0,4,0
12,23,RAD52,ENSG00000002016,0.0,1.0,1.0,1,0
13,24,BAD,ENSG00000002330,0.0,1.0,1.0,3,0
14,25,LAP3,ENSG00000002549,0.0,1.0,1.0,38,0
15,26,CD99,ENSG00000002586,0.0,1.0,1.0,16,0
16,27,HS3ST1,ENSG00000002587,0.0,1.0,1.0,5,0
17,28,AOC1,ENSG00000002726,0.0,1.0,1.0,1,0
18,30,HECW1,ENSG00000002746,0.0,1.0,1.0,1,0
19,31,MAD1L1,ENSG00000002822,0.0,1.0,1.0,4,0
20,32,LASP1,ENSG00000002834,0.0,1.0,1.0,30,0
21,33,SNX11,ENSG00000002919,0.0,1.0,1.0,4,0
22,34,TMEM176A,ENSG00000002933,0.0,1.0,1.0,11,0
23,35,M6PR,ENSG00000003056,0.0,1.0,1.0,25,0
24,40,ALS2,ENSG00000003393,0.0,1.0,1.0,4,0
25,41,CASP10,ENSG00000003400,0.0,1.0,1.0,13,0
26,42,CFLAR,ENSG00000003402,0.0,1.0,1.0,49,0
27,44,NDUFAF7,ENSG00000003509,0.0,1.0,1.0,1,0
28,45,RBM5,ENSG00000003756,0.0,1.0,1.0,11,0
29,46,MTMR7,ENSG00000003987,0.0,1.0,1.0,1,0
30,47,SLC7A2,ENSG00000003989,0.0,1.0,1.0,1,0
31,48,ARF5,ENSG00000004059,0.0,1.0,1.0,3,0
32,50,POLDIP2,ENSG00000004142,0.0,1.0,1.0,4,0
33,51,PLXND1,ENSG00000004399,0.0,1.0,1.0,17,0
34,52,AK2,ENSG00000004455,0.0,1.0,1.0,13,0
35,53,CD38,ENSG00000004468,0.0,1.0,1.0,2,0
36,54,FKBP4,ENSG00000004478,0.0,1.0,1.0,3,0
37,55,KDM1A,ENSG00000004487,0.0,1.0,1.0,8,0
38,56,RBM6,ENSG00000004534,0.0,1.0,1.0,14,0
39,58,RECQL,ENSG00000004700,0.0,1.0,1.0,11,0
40,59,VPS50,ENSG00000004766,0.0,1.0,1.0,2,0
41,62,NDUFAB1,ENSG00000004779,0.0,1.0,1.0,19,0
42,63,PDK4,ENSG00000004799,0.0,1.0,1.0,8,0
43,65,ZMYND10,ENSG00000004838,0.0,1.0,1.0,1,0
44,68,SLC25A13,ENSG00000004864,0.0,1.0,1.0,2,0
45,69,ST7,ENSG00000004866,0.0,1.0,1.0,3,0
46,70,CDC27,ENSG00000004897,0.0,1.0,1.0,6,0
47,73,HCCS,ENSG00000004961,0.0,1.0,1.0,5,0
48,74,DVL2,ENSG00000004975,0.0,1.0,1.0,2,0
49,76,UPF1,ENSG00000005007,0.0,1.0,1.0,5,0
50,77,SKAP2,ENSG00000005020,0.0,1.0,1.0,38,0
51,78,SLC25A5,ENSG00000005022,0.0,1.0,1.0,18,0
52,79,MCUB,ENSG00000005059,0.0,1.0,1.0,17,0
53,81,POLR2J,ENSG00000005075,0.0,1.0,1.0,7,0
54,82,DHX33,ENSG00000005100,0.0,1.0,1.0,6,0
55,85,LIG3,ENSG00000005156,0.0,1.0,1.0,1,0
56,86,RPAP3,ENSG00000005175,0.0,1.0,1.0,2,0
57,87,ACSM3,ENSG00000005187,0.0,1.0,1.0,1,0
58,89,CIAPIN1,ENSG00000005194,0.0,1.0,1.0,5,0
59,90,SPPL2B,ENSG00000005206,0.0,1.0,1.0,4,0
60,91,ATOSB,ENSG00000005238,0.0,1.0,1.0,11,0
61,93,PRKAR2B,ENSG00000005249,0.0,1.0,1.0,3,0
62,94,MSL3,ENSG00000005302,0.0,1.0,1.0,14,0
63,95,CREBBP,ENSG00000005339,0.0,1.0,1.0,31,0
64,97,MPO,ENSG00000005381,0.0,1.0,1.0,6,0
65,99,GCFC2,ENSG00000005436,0.0,1.0,1.0,5,0
66,100,WDR54,ENSG00000005448,0.0,1.0,1.0,2,0
67,101,CROT,ENSG00000005469,0.0,1.0,1.0,1,0
68,103,KMT2E,ENSG00000005483,0.0,1.0,1.0,26,0
69,104,RHBDD2,ENSG00000005486,0.0,1.0,1.0,2,0
70,106,IBTK,ENSG00000005700,0.0,1.0,1.0,11,0
71,107,ZNF195,ENSG00000005801,0.0,1.0,1.0,3,0
72,108,MYCBP2,ENSG00000005810,0.0,1.0,1.0,38,0
73,109,FBXL3,ENSG00000005812,0.0,1.0,1.0,7,0
74,110,ITGAL,ENSG00000005844,0.0,1.0,1.0,39,0
75,113,ZFX,ENSG00000005889,0.0,1.0,1.0,6,0
76,114,LAMP2,ENSG00000005893,0.0,1.0,1.0,29,0
77,115,ITGA2B,ENSG00000005961,0.0,1.0,1.0,3,0
78,117,GDE1,ENSG00000006007,0.0,1.0,1.0,11,0
79,118,REX1BD,ENSG00000006015,0.0,1.0,1.0,11,0
80,120,OSBPL7,ENSG00000006025,0.0,1.0,1.0,3,0
81,124,MAP3K14,ENSG00000006062,0.0,1.0,1.0,1,0
82,128,AP2B1,ENSG00000006125,0.0,1.0,1.0,13,0
83,130,ZNF263,ENSG00000006194,0.0,1.0,1.0,4,0
84,132,SPATA20,ENSG00000006282,0.0,1.0,1.0,6,0
85,136,MAP3K9,ENSG00000006432,0.0,1.0,1.0,1,0
86,137,RALA,ENSG00000006451,0.0,1.0,1.0,5,0
87,139,KDM7A,ENSG00000006459,0.0,1.0,1.0,20,0
88,141,AGK,ENSG00000006530,0.0,1.0,1.0,2,0
89,142,ALDH3B1,ENSG00000006534,0.0,1.0,1.0,23,0
90,144,PHTF2,ENSG00000006576,0.0,1.0,1.0,3,0
